Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-22 00:00:14.461,    0.000,TCP  ,19394_40,54719,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-03-22 00:00:14.461,    0.000,TCP  ,EXT_SERVER,23,19394_40,54719,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-03-22 00:00:33.525,    0.000,TCP  ,19395_18,4622,EXT_SERVER,7547,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-03-22 00:00:33.525,    0.000,TCP  ,EXT_SERVER,7547,19395_18,4622,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-03-22 00:00:40.205,    0.000,TCP  ,11246_253,6000,EXT_SERVER,3306,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-03-22 00:00:40.205,    0.000,TCP  ,EXT_SERVER,3306,11246_253,6000,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-03-22 00:00:38.395,    5.514,TCP  ,EXT_SERVER,22,19377_254,7432,      10,    2445,    1,.AP.SF,  0,suspicious,---,---,---
2017-03-22 00:00:38.395,    5.514,TCP  ,19377_254,7432,EXT_SERVER,22,      12,    1631,    1,.APRSF,  0,suspicious,---,---,---
2017-03-22 00:00:20.548,   37.611,TCP  ,18851_139,35854,EXT_SERVER,22,      14,    2073,    1,.APRS.,  0,suspicious,---,---,---
2017-03-22 00:00:20.548,   37.611,TCP  ,EXT_SERVER,22,18851_139,35854,      26,    4949,    1,.AP.S.,  0,suspicious,---,---,---
2017-03-22 00:01:15.132,   10.409,TCP  ,18851_139,25767,EXT_SERVER,22,      10,    1601,    1,.APRSF,  0,suspicious,---,---,---
2017-03-22 00:01:15.132,   10.409,TCP  ,EXT_SERVER,22,18851_139,25767,      14,    3591,    1,.AP.SF,  0,suspicious,---,---,---
2017-03-22 00:01:24.404,    9.586,TCP  ,10006_27,18770,EXT_SERVER,22,      15,    2001,    1,.APRSF,  0,suspicious,---,---,---
2017-03-22 00:01:24.404,    9.586,TCP  ,EXT_SERVER,22,10006_27,18770,      17,    3013,    1,.AP.SF,  0,suspicious,---,---,---
2017-03-22 00:02:04.325,    0.000,TCP  ,19396_250,6000,EXT_SERVER,1433,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-03-22 00:02:04.325,    0.000,TCP  ,EXT_SERVER,1433,19396_250,6000,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-03-22 00:02:28.718,    0.000,TCP  ,19397_200,18313,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-03-22 00:02:28.718,    0.000,TCP  ,EXT_SERVER,23,19397_200,18313,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-03-22 00:03:13.479,    0.311,TCP  ,19350_35,55631,EXT_SERVER,5900,       2,      92,    1,...RS.,  0,suspicious,---,---,---
